,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
1041,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,2º Fiscalia Provincial Mixta De Tumbes,"03506090602-2002-
0003710000","Sep 28, 2005",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
1042,"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,05º Fiscalia Provincial Penal De Chiclayo,"02406070105-2005-
0001230001","Sep 27, 2005",CON DICTAMEN,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
1043,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,1º Fiscalia Provincial Mixta De Tumbes,"03506090601-2004-
0002070000","Sep 16, 2005",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
1044,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,03º Fiscalia Provincial En Lo Penal De Lima-Norte,"00606010103-2004-
0003730000","Aug 10, 2005",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
1045,"COSTA SANTOLALLA, GINO FRANCISCO",Morado,Lima,43º Fiscalia Provincial En Lo Penal De Lima,"00506010143-2005-
0004780000","Aug 1, 2005",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
1046,"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,05º Fiscalia Provincial Penal De Chiclayo,"02406070105-2005-
0001230000","Jul 26, 2005",CON DICTAMEN,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
1047,"CHÁVEZ COSSÍO, MARTHA GLADYS",Fuerza Popular,Lima,03º Fiscalia Provincial En Lo Penal De Lima,"00506010103-2005-
0003150000","Jul 20, 2005",DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
1048,"SIMEÓN HURTADO, LUIS CARLOS",Acción Popular,Pasco,01° Fiscalia Provincial Civil Y Familia De Huanuco,"02006010604-2005-
0006570000","Jul 15, 2005",CON DEMANDA,MALTRATO SICOLOGICO
1049,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,Huancavelica,Juzgado Penal De Turno Permanente.,"OFICIO NRO, 831 DEL 2005 HMG –JPTPL.","Jan 19, 2005",ESTABLECIMIENTO PENAL: E.P. REOS EN CARCEL CASTRO CASTRO,"SECUESTRO, SUSTRACCION O ARREBATO DE ARMAS DE FUEGO, REBELION"
1050,CHAVARRIA VILCATOMA ROBERTO CARLOS,UPP,Junín,Juzgado Penal De Turno Permanente.,"OFICIO NRO, 831 DEL 2005 HMG –JPTPL.","Jan 19, 2005",ESTABLECIMIENTO PENAL: E.P. REOS EN CARCEL CASTRO CASTRO,"CONTRA LA SEGURIDAD PUBLICA, SUSTRACCION O ARREBATO DE ARMAS DE FUEGO, CONTRA LOS PODERES DEL ESTADO Y EL ORDEN CONSTITUCIONAL"
1051,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,Huancavelica,Juzgado Penal De Turno Permanente.,"OFICIO NRO, 831 DEL 2005 HMG –JPTPL.","Jan 18, 2005",ESTABLECIMIENTO PENAL: E.P. REOS EN CARCEL CASTRO CASTRO,"CONTRA LA SEGURIDAD PUBLICA, SUSTRACCION O ARREBATO DE ARMAS DE FUEGO, CONTRA LOS PODERES DEL ESTADO Y EL ORDEN CONSTITUCIONAL"
1052,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,Huancavelica,Juzgado Penal Permanente De Turno De Lima,OFICIO NRO. 831,"Jan 17, 2005",ANULADO,ANTECEDENTE POR SECUESTRO
1053,"MAQUERA CHAVEZ, HÉCTOR SIMON",UPP,Tacna,Juzgado Penal De Turno Permanente De Lima,OFICIO N° 831,"Jan 17, 2005",ANULADO,ANTECEDENTE POR SECUESTRO
1054,CHAVARRIA VILCATOMA ROBERTO CARLOS,UPP,Junín,Juzgado Penal Permanente De Turno De Lima,OFICIO NRO. 831,"Jan 17, 2005",VIGENTE,ANTECEDENTE POR SECUESTRO
1055,"MAQUERA CHAVEZ, HÉCTOR SIMON",UPP,Tacna,2° Fiscalia Provincial Especializada En Delitos Contra El Terrorimso,N° DENUNCIA: 005-2005,"Jan 4, 2005",DETENCION,DELITO: CONTRA PODER DEL ESTADO Y ORDEN CONSTITUCIONAL
1056,CHAVARRIA VILCATOMA ROBERTO CARLOS,UPP,Junín,Fiscalía: 2° Fiscalia Provincial Especializada En Delitos Contra El Terrorismo,"N° DENUNCIA: 005-
2005","Jan 4, 2005",DETENCION,DELITO: CONTRA PODER DEL ESTADO Y ORDEN CONSTITUCIONAL
1057,"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,03º Fiscalia Provincial En Lo Penal De Lima,"00506010103-2003-
0001360000","Dec 27, 2004",ARCHIVO DEFINITIVO,FRAUDE EN LA ADMINISTRACION DE PERSONA JURIDICA
1058,"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,30º Fiscalia Provincial En Lo Penal De Lima,"00506010130-2004-
0006330000","Dec 17, 2004",DENUNCIA PENDIENTE,LIBRAMIENTOS INDEBIDOS (CHEQUES SIN FONDOS)
1059,"RUÍZ PINEDO, ROLANDO RUBÉN",Acción Popular,San Martín,02º Fiscalia Provincial Mixta De Moyobamba,"02806010602-2004-
0002280000","Aug 19, 2004",ARCHIVO DEFINITIVO,APROPIACION ILICITA(BIENMUEBSUMDINER)
1060,"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,2º Fiscalia Provincial Penal De Piura,"02606060102-2004-
0003630000","Aug 16, 2004",DERIVADO,ABUSO DE AUTORIDAD
1061,"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,2º Fiscalia Superior Mixta De Ancash,"01305010602-2004-
0004130000","Jul 23, 2004",CON DICTAMEN,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD
1062,"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,08º Fiscalia Provincial Penal De Chiclayo,"02406070108-2003-
0004920000","Jul 8, 2004",CON RUBRICA,DAÑOS
